,RA,DEC,Z,fuv_mag,nuv_mag,flag,x_deg,y_deg,x_mm,y_mm,dec,yline_mm,shift,slit_length,slit_width
0,253.16115,34.9648,0.733,0.0,0.0,3.0,0.032396827619478125,0.07431730421395194,1.368887148487948,3.1401840897404143,,5.668655687285835,-2.8659830092799985,0.47272727,0.075
1,253.140564,34.986008,0.732091,0.0,0.0,3.0,0.006706188130821446,0.06569728129781047,0.28337842207266795,2.776121329354549,,5.276640291113378,-2.799048063298555,0.47272727,0.075
2,252.995708,34.992336,0.0,0.0,17.48,4.0,-0.03982309123980526,-0.04365889937944408,-1.6828143992540898,-1.8449051101758023,,-52.755536722395966,51.10906144,0.47272727,0.075
3,253.25197,34.922949,0.0,0.0,17.52,4.0,0.09710591880793419,0.13005344803352317,4.100918306415755,5.492338390907517,,-46.204453430610194,51.10906144,0.47272727,0.075
4,253.00645446777344,35.06332015991211,0.64524335,,22.061869,1.0,-0.10349664312626312,-0.011072513640126715,-4.372619990797032,-0.4678015926770185,35.064011899824216,-4.013617874785662,3.596048483857671,0.47272727,0.075
5,252.97247314453125,34.75245666503906,0.7010053,,22.351974,1.0,0.17899177397864074,-0.14378692460647366,7.553760490128773,-6.068055341018714,34.75206233261752,-4.912500750972148,-0.5100275459220476,0.47272727,0.075
6,252.8296813964844,35.17415237426758,0.71582484,,22.55795,1.0,-0.25724122504087205,-0.10881738362539434,-10.848709267022187,-4.5891872811690835,35.1749050168981,-2.50247197055276,-1.6012762911033331,0.47272727,0.075
7,252.86204528808597,35.15045928955078,0.6806058,,22.800571,1.0,-0.22589110561798093,-0.09212613088946638,-9.531266059572198,-3.8871767976179306,35.15006851842963,-4.466389624187179,0.9921060410398791,0.47272727,0.075
8,253.2079315185547,34.83833312988281,0.6983903,,22.8879,1.0,0.16436814207485545,0.06727763127390166,6.940532882522952,2.8408340340192995,34.839266139453905,2.854660697589138,-0.3174699180436606,0.47272727,0.075
9,252.86187744140625,35.09083557128906,0.71519333,,23.036001,1.0,-0.16995112755499558,-0.11275994686971093,-7.174353958739616,-4.760072985983552,35.09104291244103,-2.6976566438190424,-1.5547745444182568,0.47272727,0.075
10,253.05911254882807,35.040409088134766,0.7316108,,23.250011,1.0,-0.06721388070826854,0.021588626387817913,-2.840159418370157,0.9122392565185223,35.0405405992519,3.5778438030239124,-2.7636881501409323,0.47272727,0.075
11,253.1322784423828,34.90934371948242,0.731768,,23.274382,1.0,0.07644838298590824,0.03314626912392406,3.2301979560378333,1.4005399014667912,34.90860974233048,4.025284051607582,-2.7752636985548653,0.47272727,0.075
12,252.99595642089844,35.089752197265625,0.737252,,23.395206,1.0,-0.1312725114433582,-0.010088541456324589,-5.545155242057671,-0.4261556964680504,35.089952531809665,2.798620861598343,-3.179082448568312,0.47272727,0.075
13,252.93011474609372,35.08903884887695,0.73042023,,23.508875,1.0,-0.14907938971458048,-0.06094117196507194,-6.295898472522301,-2.5736584528766024,35.08902840503705,0.37779092216955634,-2.6760195707821572,0.47272727,0.075
14,253.1490936279297,34.855316162109375,0.71804017,,23.910023,1.0,0.13193985851499102,0.02767329330918413,5.573219923773019,1.168936751661258,34.855283854382144,2.8080260237485595,-1.7644038971331069,0.47272727,0.075
15,253.0832672119141,34.75908279418945,0.731103,,23.990292,1.0,0.20392879495520522,-0.055990983785371824,8.607978022829018,-2.363418849245519,34.75880842212144,0.61474996917116,-2.726295888788481,0.47272727,0.075
16,252.99105834960935,35.160865783691406,0.7370588,,24.238768,1.0,-0.1994534555684375,0.010516226743261109,-8.420154496116922,0.44395447369961416,35.16075372427444,3.5614465721889217,-3.1648560112046202,0.47272727,0.075
17,252.9925842285156,35.03624725341797,0.64604986,,24.309475,1.0,-0.08195259293505068,-0.031015693043648724,-3.462700668548885,-1.3104900917883695,35.03571069637276,-4.706332008945408,3.5366604714445797,0.47272727,0.075
18,252.8568878173828,35.16483688354492,0.7162534,,24.342213,1.0,-0.24084191773574823,-0.09114064245634731,-10.160262261829475,-3.844898922803547,35.16476577541565,-1.8042849466834108,-1.632833651334153,0.47272727,0.075
19,252.9763641357422,34.82233428955078,0.72910404,,24.411566,1.0,0.11444488259992917,-0.11682764769565412,4.833114953743852,-4.933741363189042,34.82189417775921,-1.826732472745344,-2.579100861704795,0.47272727,0.075
20,252.97984313964844,34.959171295166016,0.7340468,,24.891018,1.0,-0.013122162022744532,-0.06723745605881262,-0.5544885068894739,-2.841177890691821,34.95916805868155,0.40738928724237855,-2.943064969074692,0.47272727,0.075
21,253.18739318847656,34.742332458496094,1.044807,,24.519653,2.0,0.24887624306957873,0.018707848375112468,10.500326482923693,0.7893019972854372,34.74289191631439,3.8717111575751044,-3.1661961222845716,0.47272727,0.075
22,253.0784454345703,34.74169158935547,0.9580562,,24.955788,2.0,0.2189179441538631,-0.06565924239572547,9.238830770517305,-2.770968050879069,34.74160562635566,-4.736579798205005,2.260422102935496,0.47272727,0.075
