,RA,DEC,Z,B,R,x_deg,y_deg,x_mm,y_mm,flag,yline_mm,shift,slit_length,slit_width
0,351.63229675699995,-1.89532442,0.732,0.0,0.0,-0.22088238948377922,-0.04003850936472778,-9.3221927436972,-1.689798368899516,./qmult14/,1.282404972264676,-2.792347205120005,0.47272727,0.075
1,351.646688302,-1.91677546,0.732,0.0,0.0,-0.20649621007554445,-0.06148791328885402,-8.71595571546094,-2.5953305828987903,./qmult14/,0.4734997115922366,-2.792347205120005,0.47272727,0.075
2,22.67362,0.66677,0.6559999999999999,17.76,17.4,0.217269771270167,0.12588887364752724,9.166632530913423,5.3112636779211435,./qmult7/,1.9435786323233186,2.8039739110400053,0.47272727,0.075
3,14.772960000000001,0.11435,0.7190000000000001,17.88,17.18,0.16090796996665332,0.08254299968241963,6.7942147847059475,3.485314424962899,./qmult5/,4.947963904361319,-1.8350817510400053,0.47272727,0.075
4,0.28894000000000003,1.44459,0.725,18.52,18.39,0.2548085776824665,0.005855661242800084,10.74985226874078,0.24703836059371156,./qmult1/,2.4977267305708124,-2.2768965759999946,0.47272727,0.075
5,0.20073,1.5538,0.664,19.84,19.38,0.18692167702294513,0.1287130231827922,7.8886694558317165,5.43208530290049,./qmult1/,2.639170095956739,2.2148874777599876,0.47272727,0.075
6,22.55721,0.62048,0.741,20.03,19.42,0.12372229008726446,0.04257470152014239,5.226252100742708,1.798431981021356,./qmult7/,5.060657185372066,-3.4550694425600024,0.47272727,0.075
7,14.364510000000001,-0.02437,0.657,20.13,18.86,-0.26542532599990026,0.016856452227268077,-11.196029780247189,0.7110298929269409,./qmult5/,-2.094643384026936,2.730338106879998,0.47272727,0.075
8,22.27638,0.7227899999999999,0.743,20.27,19.78,-0.17514575364271107,0.042672571919604455,-7.395435177526459,1.801826381320915,./qmult7/,5.211619706561661,-3.6023410508799896,0.47272727,0.075
9,14.34419,-0.08793,0.657,20.37,19.18,-0.29647386973095036,-0.04221020573555305,-12.499396354705528,-1.7795905324848371,./qmult5/,-4.32217989392144,2.730338106879998,0.47272727,0.075
10,14.581879999999998,-0.0281,0.733,20.57,20.13,-0.05200532031521608,-0.024562540514562338,-2.197612879210593,-1.0379506376223713,./qmult5/,1.9396743664854519,-2.8659830092799985,0.47272727,0.075
11,14.51883,-0.03288,0.747,20.65,20.13,-0.11492750009276641,-0.01832145369051216,-4.85520876648456,-0.7740051989394519,./qmult5/,3.2059410447690833,-3.8968842675199915,0.47272727,0.075
12,22.4059,0.65525,0.6559999999999999,20.81,20.83,-0.03034563763950364,0.02349834619578622,-1.282393691626992,0.9930300784292987,./qmult7/,-1.9177984293291317,2.8039739110400053,0.47272727,0.075
13,22.2991,0.66674,0.742,20.87,20.57,-0.13462836184688293,-0.0022283527381477333,-5.686790655494019,-0.09412708700158964,./qmult7/,3.444669053504666,-3.528705246719996,0.47272727,0.075
14,0.26145999999999997,1.4949700000000001,0.726,21.08,20.0,0.23649792722726182,0.06023900110119733,9.978798853783994,2.541725765588142,./qmult1/,4.622280586346857,-2.350532380159988,0.47272727,0.075
15,0.34967,1.33461,0.721,21.48,21.5,0.2955144555810578,-0.11299253746242091,12.455491747973143,-4.762466239353542,./qmult1/,-2.2788493432136283,-1.9823533593599925,0.47272727,0.075
16,14.70766,0.06711,0.73,21.65,21.31,0.08839684891763688,0.047359610694602636,3.734748022927276,2.000933456045201,./qmult5/,4.431113025615083,-2.64507559679999,0.47272727,0.075
17,22.45386,0.59717,0.748,21.78,21.82,0.03458388582976393,-0.014676656416737472,1.4615027187835672,-0.6202302818514861,./qmult7/,3.4170303510996085,-3.9705200716800126,0.47272727,0.075
